"","Brazil","France","United Kingdom","Greece","Ireland","South Africa","Spain","Marroco","USA","India","Japan","Australia","Mexico","China","Saudi Arabia"
"304",1,1,1,0,1,0,1,1,0,1,0,0,0,1,0
"305",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
"306",1,1,0,1,1,0,1,1,1,0,1,0,1,0,0
"307",0,0,0,1,1,0,1,0,0,1,1,0,0,1,0
"308",1,1,1,0,1,0,1,0,1,1,1,0,0,1,1
"309",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"310",0,1,0,1,1,0,1,1,0,1,1,1,1,0,0
"311",1,1,1,1,1,0,1,0,1,1,0,1,0,1,0
"312",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"313",0,1,1,1,0,1,1,0,1,1,0,0,1,0,1
"314",1,0,0,0,1,0,0,1,1,0,1,1,0,0,0
"315",1,1,1,1,0,0,0,1,1,1,0,0,1,1,0
"316",0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
"317",1,1,1,1,1,0,1,0,1,0,1,1,1,1,1
"318",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"319",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"320",1,0,0,0,1,0,0,1,1,0,0,0,1,1,0
"321",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"322",1,0,0,1,0,0,1,0,1,0,1,1,0,0,1
"323",0,0,0,0,1,0,0,0,1,1,0,1,1,1,0
"324",1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
"325",0,1,1,1,0,1,0,1,1,0,0,1,0,1,0
"326",1,1,1,0,0,1,0,1,1,1,0,1,0,0,0
"327",1,0,0,0,0,1,1,1,0,0,1,1,0,1,0
"328",0,1,1,1,1,1,1,0,1,1,0,1,1,0,0
"329",1,0,1,0,0,1,0,1,1,0,1,1,1,0,0
"330",1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"331",1,1,0,1,0,1,0,1,0,0,1,1,0,1,1
"332",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"333",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"334",1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
"335",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"336",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"337",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"338",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"339",0,1,1,1,1,1,1,0,0,0,0,0,1,1,0
"340",1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"341",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"342",1,1,1,0,1,1,1,1,0,1,1,0,1,1,0
"343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"344",1,0,1,0,0,0,0,0,1,1,1,0,1,0,1
"345",1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"346",1,0,1,0,0,1,0,0,0,0,1,1,1,1,0
"347",1,0,0,0,0,1,1,1,1,1,0,0,0,1,1
"348",1,0,0,0,0,1,0,1,1,1,0,0,1,0,1
"349",0,1,0,0,1,1,0,1,1,1,1,1,0,1,0
"350",1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
"351",1,1,1,0,1,1,1,0,1,1,0,0,1,0,1
"352",0,1,1,1,1,1,1,0,1,0,1,0,1,1,0
"353",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"354",0,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"355",0,0,1,1,0,0,1,1,0,1,1,1,1,0,1
"356",0,1,1,0,1,1,1,0,1,0,0,0,1,1,1
"357",1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
"358",0,0,1,0,1,1,0,0,0,0,1,1,0,1,1
"359",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"360",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"361",0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
"362",1,1,1,0,0,0,1,1,0,1,0,0,1,0,1
"363",0,0,0,1,0,0,1,1,0,1,1,1,0,0,1
"364",1,1,1,1,1,1,1,0,0,0,1,1,1,0,1
"365",0,1,0,1,0,1,1,1,1,1,0,1,0,0,0
"366",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"367",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
"368",1,1,1,1,1,1,1,0,0,1,1,0,0,1,1
"369",1,0,0,1,0,1,0,0,0,0,1,1,0,0,1
"370",0,1,1,0,0,0,1,1,1,1,0,1,1,0,1
"371",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"372",0,0,0,0,0,1,0,0,0,1,0,1,0,1,1
"373",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"374",1,0,0,1,1,0,0,0,1,0,1,0,1,0,0
"375",0,0,1,1,1,0,0,1,0,1,0,0,1,1,0
"376",1,0,0,0,0,1,1,1,1,1,1,0,1,1,1
"377",1,0,1,0,0,1,1,0,1,1,0,1,1,1,1
"378",1,0,1,0,0,1,0,1,1,1,0,1,1,1,1
"379",0,1,1,1,1,1,1,1,1,0,1,0,0,1,0
"380",1,0,0,1,0,0,1,1,0,0,1,0,0,0,0
"381",0,1,1,0,0,0,1,1,1,1,0,1,0,0,0
"382",1,0,0,1,0,1,0,1,0,1,0,1,0,1,1
"383",1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"384",1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
"385",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
